FIPS,County,State,Insurance Coverage,Medicaid Enrollment,Gini Coefficient,Household Income,Annual Labor Force Participation Rate,Annual Unemployment Rate,Below Poverty,Received Public Assistance,Monthly Unemployment Rate (Aug),Uninsured
51001,Accomack County,Virginia,0.8772808695388166,0.21477365880316968,0.4533,50601.0,0.5499483165977554,0.03879975834060549,0.12036055143160128,0.11567269643866591,0.035,0.12271913046118343
51007,Amelia County,Virginia,0.9220117172639428,0.15377006771665525,0.4323,57420.0,0.6273615635179153,0.0433170152796321,0.07772166105499438,0.11117533718689789,0.036000000000000004,0.07798828273605718
51011,Appomattox County,Virginia,0.9103935923909643,0.21131343470371067,0.4298,55268.0,0.6051289973737062,0.03714577482767424,0.10329411764705883,0.14191045741069985,0.038,0.08960640760903571
51025,Brunswick County,Virginia,0.9428447087836368,0.2558932327554943,0.4352,49597.0,0.4963200466370327,0.06885919835560124,0.14704315396909962,0.23522438611346316,0.05,0.0571552912163632
51029,Buckingham County,Virginia,0.8822897070679925,0.2429454447729105,0.4387,49841.0,0.48998152621855906,0.07018561484918794,0.11918828666837915,0.1761006289308176,0.043,0.11771029293200752
51031,Campbell County,Virginia,0.9197735807979099,0.15515520963733015,0.42,53918.0,0.5976223837463877,0.04403414294611129,0.06139201214044285,0.10798903025670997,0.039,0.08022641920209006
51033,Caroline County,Virginia,0.9317882630083836,0.13985311439063258,0.4235,76528.0,0.6542323005019907,0.04140759359703664,0.0640623037306871,0.09827272727272728,0.04,0.06821173699161642
51036,Charles City County,Virginia,0.9217212512850639,0.1658099574093112,0.5194,59543.0,0.5742524075012672,0.03353927625772286,0.09880749574105621,0.13437926330150068,0.033,0.07827874871493612
51037,Charlotte County,Virginia,0.8979253835425384,0.23692468619246862,0.4747,45567.0,0.5296591889559965,0.04113215231113826,0.1643141512848353,0.20798957881024752,0.033,0.10207461645746163
51041,Chesterfield County,Virginia,0.9247491966729513,0.11824245769050827,0.4176,88315.0,0.6794462156182182,0.04719793167666322,0.046171866012695954,0.06394366197183099,0.033,0.0752508033270487
51049,Cumberland County,Virginia,0.9046437066914883,0.1165580721894715,0.4354,57568.0,0.6416234887737479,0.027302441838108055,0.044301400984475575,0.16766917293233083,0.042,0.0953562933085117
51053,Dinwiddie County,Virginia,0.9394444243236392,0.17304697403208866,0.4337,68918.0,0.6137436614792796,0.06168091168091168,0.07576625608708107,0.13819633813790416,0.04,0.06055557567636083
51057,Essex County,Virginia,0.8986126947928544,0.26586849106803495,0.4254,54375.0,0.5607276014009717,0.08623816240177312,0.09261887863733144,0.17469178878809025,0.039,0.10138730520714556
51073,Gloucester County,Virginia,0.9428834759710336,0.13050691244239632,0.3887,77733.0,0.618713112650757,0.033490590491990255,0.050004902441415824,0.07720736460153205,0.032,0.05711652402896639
51075,Goochland County,Virginia,0.960717812218263,0.062164598806508396,0.4727,100517.0,0.5711300121506683,0.031486681984511954,0.018990073370738023,0.05902263592130315,0.032,0.03928218778173698
51081,Greensville County,Virginia,0.8944358393899678,0.2689145716668652,0.4489,53063.0,0.39983828582979586,0.08872598584428716,0.07369942196531792,0.13697769399937165,0.046,0.10556416061003215
51083,Halifax County,Virginia,0.9222169078082028,0.25179361473155565,0.4541,45962.0,0.5172045689072341,0.04967320261437908,0.11506058857472591,0.17184954834888197,0.045,0.07778309219179724
51085,Hanover County,Virginia,0.9511190014073754,0.08916136984537268,0.4176,96911.0,0.6715634599471781,0.031478918407993786,0.037087214225232853,0.046985859588191514,0.028999999999999998,0.048880998592624625
51087,Henrico County,Virginia,0.9307394272111157,0.12973680375057692,0.4607,76345.0,0.6910639231575324,0.04065779461436134,0.05767414050822123,0.07991544936398294,0.033,0.06926057278888431
51089,Henry County,Virginia,0.9110686871097323,0.2769160402497713,0.4387,41103.0,0.5141246985218616,0.058987459359033906,0.10716987475834244,0.16016767401052837,0.038,0.08893131289026768
51093,Isle Of Wight County,Virginia,0.937428836224017,0.11320005295908911,0.4395,84673.0,0.6459143968871596,0.05647590361445783,0.06943805757380668,0.08902609042023502,0.033,0.06257116377598304
51095,James City County,Virginia,0.9481250984717189,0.08440995746021743,0.4209,94907.0,0.5798969480776853,0.04423544850589168,0.03687817613874773,0.05146564474922684,0.033,0.051874901528281114
51097,King And Queen County,Virginia,0.947085201793722,0.18684603886397608,0.4343,61672.0,0.618752215526409,0.03236894872529361,0.06762513312034078,0.08633606849803782,0.032,0.05291479820627798
51099,King George County,Virginia,0.9526226734348562,0.11659744654668512,0.3751,101599.0,0.6766801940017817,0.029108461932275287,0.0447234762979684,0.0757014293276866,0.031000000000000003,0.04737732656514382
51101,King William County,Virginia,0.9461688237315313,0.12409804146145917,0.3758,74592.0,0.6821249102656138,0.029783203536097664,0.0621347876899104,0.08129593520323984,0.032,0.05383117626846867
51103,Lancaster County,Virginia,0.9215338682590035,0.19677178578092927,0.5056,64460.0,0.4748193795155121,0.11725218169612889,0.08156271418779987,0.09986530690783144,0.034,0.07846613174099648
51109,Louisa County,Virginia,0.9221508394968417,0.17343302920693193,0.4519,70974.0,0.6064889385621774,0.061517615176151765,0.06819077650768625,0.08159526493799324,0.032,0.07784916050315827
51111,Lunenburg County,Virginia,0.9045984280422802,0.20616135152226941,0.406,47269.0,0.49984679807986926,0.047609317531671434,0.09870493524676234,0.17309479553903345,0.04,0.09540157195771981
51115,Mathews County,Virginia,0.8981547196593329,0.14229950319375442,0.4422,73229.0,0.487788513150832,0.06960110041265474,0.05281514698555057,0.06689151208544127,0.032,0.10184528034066709
51117,Mecklenburg County,Virginia,0.91758446575621,0.2024467111728625,0.4925,46378.0,0.5147215745168557,0.03409090909090909,0.13050483351235231,0.13607269853812723,0.043,0.08241553424379
51119,Middlesex County,Virginia,0.9339168911119662,0.20623316660253943,0.4237,63782.0,0.5330219422116012,0.06154473201548808,0.060854700854700856,0.12950425857174055,0.032,0.06608310888803381
51127,New Kent County,Virginia,0.9561580882352941,0.05569852941176471,0.3853,101628.0,0.6471580092466684,0.031013615733736764,0.034961832061068704,0.0494823019503973,0.027000000000000003,0.043841911764705865
51131,Northampton County,Virginia,0.8922359990014147,0.2055421486227844,0.4956,50347.0,0.5175620856831898,0.05295354616708087,0.117046818727491,0.13907785336356765,0.035,0.1077640009985853
51133,Northumberland County,Virginia,0.9178437108232345,0.1625574592561638,0.5062,61291.0,0.4229301793208699,0.07329724853405503,0.11400753768844221,0.08055393017359079,0.040999999999999995,0.08215628917676554
51135,Nottoway County,Virginia,0.8662940670679278,0.22965032960733733,0.4868,54614.0,0.47531006856174407,0.0580226904376013,0.09010859994129733,0.1478621209267282,0.037000000000000005,0.13370593293207222
51143,Pittsylvania County,Virginia,0.9235379037131538,0.21080373329752233,0.4451,49486.0,0.5448010370428565,0.05375297425913909,0.11320529643325779,0.1423184527429753,0.038,0.07646209628684619
51145,Powhatan County,Virginia,0.9511819484240688,0.07815186246418337,0.3647,101395.0,0.5958923010210115,0.01865572902884361,0.03714519331853756,0.03441522104085059,0.028999999999999998,0.04881805157593122
51147,Prince Edward County,Virginia,0.9173722627737226,0.18340632603406326,0.4617,49019.0,0.4450167259597515,0.044863381458059896,0.1322635545830294,0.18684099536060733,0.048,0.08262773722627736
51149,Prince George County,Virginia,0.9485168204165055,0.15041705794619675,0.3815,78895.0,0.5460016927369048,0.07170742909633712,0.06903899424675047,0.11231187960294589,0.042,0.051483179583494465
51159,Richmond County,Virginia,0.9392684610075914,0.18398895790200137,0.423,57697.0,0.4252238020010532,0.02693498452012384,0.059154929577464786,0.13304873710423337,0.031000000000000003,0.060731538992408574
51175,Southampton County,Virginia,0.9455528846153847,0.19615384615384615,0.3975,65079.0,0.5579681007907787,0.0631755945231804,0.05241762943945229,0.12790872241405193,0.032,0.05444711538461533
51177,Spotsylvania County,Virginia,0.9238639586378411,0.13271813666673937,0.3982,98973.0,0.681091636059324,0.05996068152031455,0.04968076069383169,0.06926831303187052,0.034,0.0761360413621589
51179,Stafford County,Virginia,0.9283332883405772,0.08088572739788893,0.3743,119818.0,0.683735385526121,0.04102368220015279,0.03147254766827475,0.04459358386059957,0.034,0.07166671165942284
51181,Surry County,Virginia,0.9093268203327737,0.1758510151121966,0.4298,61105.0,0.6154402458868198,0.06433607520564043,0.12274176408076515,0.1264705882352941,0.034,0.09067317966722632
51183,Sussex County,Virginia,0.9083888712578018,0.22246905744208187,0.3984,56968.0,0.5122237642788513,0.05773238849520634,0.06531141868512111,0.1600109409190372,0.052000000000000005,0.09161112874219823
51193,Westmoreland County,Virginia,0.8901165681454063,0.20219877354842275,0.4894,53113.0,0.5344770484202159,0.11525591770975338,0.1336283185840708,0.18125238155722087,0.036000000000000004,0.1098834318545937
51199,York County,Virginia,0.9638133725202057,0.0669085231447465,0.3789,96144.0,0.6464501123506918,0.046864042442906366,0.034834415758681764,0.03489700263893812,0.032,0.03618662747979429
51550,Chesapeake City,Virginia,0.9326357569640522,0.1197122816879815,0.4093,85563.0,0.654777763994585,0.050789519204632504,0.05950811474291949,0.07466475792110767,0.035,0.06736424303594779
51570,Colonial Heights City,Virginia,0.9215938303341902,0.166648038448642,0.4136,65570.0,0.6434173669467788,0.06486721811057902,0.08381445351383636,0.1201607501674481,0.039,0.07840616966580982
51590,Danville City,Virginia,0.9056690106926115,0.299055967633176,0.49,38904.0,0.5286250586579071,0.06030847758544163,0.19102016489520215,0.23480365788058097,0.054000000000000006,0.09433098930738848
51595,Emporia City,Virginia,0.9259524235378287,0.4263995707386872,0.4377,36111.0,0.5935052970981115,0.15909972836631742,0.14964028776978416,0.3294642857142857,0.057999999999999996,0.0740475764621713
51620,Franklin City,Virginia,0.9564737616478666,0.3624325649828347,0.4161,49424.0,0.5983685220729367,0.08473670141673349,0.12170753860127158,0.2219343696027634,0.051,0.04352623835213343
51630,Fredericksburg City,Virginia,0.8986421124287916,0.15083658772526962,0.4614,72293.0,0.7101103752759382,0.04980104451628948,0.09588807370755843,0.10698338989105198,0.039,0.10135788757120845
51650,Hampton City,Virginia,0.9241085479599278,0.19662994664721914,0.4443,59380.0,0.6427656727828747,0.05953106647437518,0.1039717257162722,0.13593388892779606,0.045,0.0758914520400722
51670,Hopewell City,Virginia,0.9226348364279399,0.34213085764809903,0.444,44209.0,0.6083208826571659,0.08634044965048177,0.20316488004083716,0.2413421081022764,0.051,0.07736516357206014
51680,Lynchburg City,Virginia,0.9242833335486454,0.19817329182115312,0.4448,54015.0,0.6013360645713587,0.06050283448153138,0.11211105229104171,0.14433809046615295,0.05,0.07571666645135455
51690,Martinsville City,Virginia,0.9008409785932722,0.3232415902140673,0.4797,36832.0,0.5679442508710801,0.054533060668029994,0.23086654016445288,0.20173267326732675,0.052000000000000005,0.09915902140672783
51700,Newport News City,Virginia,0.903339715442028,0.20820196507801841,0.4572,57463.0,0.6542167084598126,0.05686683253760115,0.12383999273931885,0.1378500306985932,0.043,0.09666028455797204
51710,Norfolk City,Virginia,0.8921032811262818,0.21319113188235067,0.4759,56244.0,0.6594519626796671,0.07124193122536121,0.1269387285012285,0.16113784898306363,0.040999999999999995,0.10789671887371821
51730,Petersburg City,Virginia,0.8915371757568253,0.31588559400730515,0.4475,44890.0,0.6171309835308604,0.12183564035415888,0.18932038834951456,0.23873064159292035,0.067,0.10846282424317466
51735,Poquoson City,Virginia,0.9706749672346002,0.07019986893840105,0.3423,112026.0,0.6397952012850115,0.016161933155499766,0.028731045490822026,0.012129088152479966,0.028999999999999998,0.029325032765399772
51740,Portsmouth City,Virginia,0.9081201261719092,0.2530228686585473,0.4546,54020.0,0.609512681283937,0.06330769751234805,0.13279721799608782,0.16234793660674915,0.044000000000000004,0.09187987382809082
51760,Richmond City,Virginia,0.893228455091537,0.21662941279233838,0.5236,54795.0,0.6723216642906172,0.0598754427437152,0.12954985754985754,0.15233604193440664,0.039,0.10677154490846297
51800,Suffolk City,Virginia,0.9356142805212544,0.1629746312554389,0.4543,81883.0,0.6594690215788956,0.06514519288086519,0.07793502092884194,0.11512383330023547,0.037000000000000005,0.0643857194787456
51810,Virginia Beach City,Virginia,0.9287650171294544,0.10484749706813921,0.4275,81810.0,0.6842694153931776,0.042865857274783745,0.060181258834289514,0.06388170306022163,0.032,0.07123498287054564
51830,Williamsburg City,Virginia,0.9325902335456475,0.09375,0.5024,65297.0,0.5089285714285714,0.06161745827984596,0.06726825266611977,0.07471745500209293,0.049,0.06740976645435248
