FIPS,County,State,PWS_Violations_Since_2016,LILATracts_Vehicle
51001,Accomack County,Virginia,3.0,0.9303522249601391
51007,Amelia County,Virginia,0.0,0.0
51011,Appomattox County,Virginia,0.0,0.4417371125476546
51025,Brunswick County,Virginia,15.0,0.6310084825636192
51029,Buckingham County,Virginia,3.0,0.3022632020117351
51031,Campbell County,Virginia,4.0,0.38295976115146385
51033,Caroline County,Virginia,0.0,0.0
51036,Charles City County,Virginia,,0.0
51037,Charlotte County,Virginia,5.0,0.7698179682912507
51041,Chesterfield County,Virginia,0.0,0.00922372060857538
51049,Cumberland County,Virginia,0.0,1.0
51053,Dinwiddie County,Virginia,0.0,0.12642802741812642
51057,Essex County,Virginia,0.0,0.38189063537746293
51073,Gloucester County,Virginia,1.0,0.16630518435597846
51075,Goochland County,Virginia,0.0,0.0
51081,Greensville County,Virginia,0.0,0.5249579360628155
51083,Halifax County,Virginia,0.0,0.5160092807424594
51085,Hanover County,Virginia,0.0,0.043728989587034355
51087,Henrico County,Virginia,0.0,0.10613879503374772
51089,Henry County,Virginia,4.0,0.5286596691287634
51093,Isle Of Wight County,Virginia,,0.11955095494970112
51095,James City County,Virginia,,0.0
51097,King And Queen County,Virginia,,0.0
51099,King George County,Virginia,0.0,0.0
51101,King William County,Virginia,0.0,0.0
51103,Lancaster County,Virginia,0.0,0.0
51109,Louisa County,Virginia,14.0,0.14276885043263288
51111,Lunenburg County,Virginia,1.0,0.39378656445430704
51115,Mathews County,Virginia,5.0,0.0
51117,Mecklenburg County,Virginia,3.0,0.44223786587625047
51119,Middlesex County,Virginia,0.0,0.0
51127,New Kent County,Virginia,0.0,0.0
51131,Northampton County,Virginia,0.0,0.7121923727221492
51133,Northumberland County,Virginia,0.0,0.29891696750902524
51135,Nottoway County,Virginia,4.0,0.8072204696810376
51143,Pittsylvania County,Virginia,10.0,0.15597907038918382
51145,Powhatan County,Virginia,0.0,0.0
51147,Prince Edward County,Virginia,0.0,0.6539919151086407
51149,Prince George County,Virginia,0.0,0.0
51159,Richmond County,Virginia,0.0,0.6635011079455524
51175,Southampton County,Virginia,0.0,0.3682095549933026
51177,Spotsylvania County,Virginia,0.0,0.032187306280101094
51179,Stafford County,Virginia,0.0,0.0
51181,Surry County,Virginia,0.0,0.4953998584571833
51183,Sussex County,Virginia,0.0,0.2774161241862794
51193,Westmoreland County,Virginia,0.0,0.0
51199,York County,Virginia,0.0,0.0
51550,Chesapeake City,Virginia,,0.08285369593083168
51570,Colonial Heights City,Virginia,,0.14941580756013745
51590,Danville City,Virginia,,0.3631777388348999
51595,Emporia City,Virginia,,0.520293609671848
51620,Franklin City,Virginia,,0.4388101983002833
51630,Fredericksburg City,Virginia,,0.40084166228300894
51650,Hampton City,Virginia,,0.3066271737747815
51670,Hopewell City,Virginia,,0.46138678935261257
51680,Lynchburg City,Virginia,,0.5983284169124877
51690,Martinsville City,Virginia,,0.5904010519395135
51700,Newport News City,Virginia,,0.27523208422959355
51710,Norfolk City,Virginia,,0.28068451176504594
51730,Petersburg City,Virginia,,0.7116033445797272
51735,Poquoson City,Virginia,,0.0
51740,Portsmouth City,Virginia,,0.1842246275854678
51760,Richmond City,Virginia,,0.4145448703973563
51800,Suffolk City,Virginia,,0.20066087857975898
51810,Virginia Beach City,Virginia,,0.041801694843387506
51830,Williamsburg City,Virginia,,0.2642747757602275
